date;time;tempmeas;refcool;refheat;ctrlenabled;forcefan;
26/08/2013;02:13:36;75,6;75,4;63,0;2;0;
26/08/2013;02:14:36;75,6;75,4;63,0;2;0;
26/08/2013;02:15:36;75,6;75,4;63,0;2;0;
26/08/2013;02:16:36;75,6;75,4;63,0;2;0;
26/08/2013;02:17:36;75,6;75,4;63,0;2;0;
26/08/2013;02:18:36;75,6;75,4;63,0;2;0;
26/08/2013;02:19:36;75,6;75,4;63,0;2;0;
26/08/2013;02:20:36;75,6;75,4;63,0;2;0;
26/08/2013;02:21:36;75,6;75,4;63,0;2;0;
26/08/2013;02:22:36;75,6;75,4;63,0;2;0;
26/08/2013;02:23:36;75,6;75,4;63,0;2;0;
26/08/2013;02:24:36;75,6;75,4;63,0;2;0;
26/08/2013;02:25:36;75,6;75,4;63,0;2;0;
26/08/2013;02:26:36;75,7;75,4;63,0;2;0;
26/08/2013;02:27:36;75,6;75,4;63,0;2;0;
26/08/2013;02:28:36;75,6;75,4;63,0;2;0;
26/08/2013;02:29:36;75,7;75,4;63,0;2;0;
26/08/2013;02:30:37;75,6;75,4;63,0;2;0;
26/08/2013;02:31:37;75,6;75,4;63,0;2;0;
26/08/2013;02:32:36;75,6;75,4;63,0;2;0;
26/08/2013;02:33:36;75,6;75,4;63,0;2;0;
26/08/2013;02:34:36;75,6;75,4;63,0;2;0;
26/08/2013;02:35:40;75,7;75,4;63,0;2;0;
26/08/2013;02:36:36;75,6;75,4;63,0;2;0;
26/08/2013;02:37:37;75,6;75,4;63,0;2;0;
26/08/2013;02:38:37;75,6;75,4;63,0;2;0;
26/08/2013;02:39:37;75,6;75,4;63,0;2;0;
26/08/2013;02:40:37;75,6;75,4;63,0;2;0;
26/08/2013;02:41:36;75,6;75,4;63,0;2;0;
26/08/2013;02:42:36;75,6;75,4;63,0;2;0;
26/08/2013;02:43:36;75,6;75,4;63,0;2;0;
26/08/2013;02:44:37;75,6;75,4;63,0;2;0;
26/08/2013;02:45:37;75,6;75,4;63,0;2;0;
26/08/2013;02:46:37;75,6;75,4;63,0;2;0;
26/08/2013;02:47:37;75,6;75,4;63,0;2;0;
26/08/2013;02:48:37;75,6;75,4;63,0;2;0;
26/08/2013;02:49:36;75,6;75,4;63,0;2;0;
26/08/2013;02:50:37;75,6;75,4;63,0;2;0;
26/08/2013;02:51:37;75,6;75,4;63,0;2;0;
26/08/2013;02:52:37;75,6;75,4;63,0;2;0;
26/08/2013;02:53:37;75,6;75,4;63,0;2;0;
26/08/2013;02:54:37;75,6;75,4;63,0;2;0;
26/08/2013;02:55:37;75,6;75,4;63,0;2;0;
26/08/2013;02:56:37;75,6;75,4;63,0;2;0;
26/08/2013;02:57:37;75,6;75,4;63,0;2;0;
26/08/2013;02:58:37;75,6;75,4;63,0;2;0;
26/08/2013;02:59:37;75,6;75,4;63,0;2;0;
26/08/2013;03:00:37;75,6;75,4;63,0;2;0;
26/08/2013;03:01:37;75,6;75,4;63,0;2;0;
26/08/2013;03:02:37;75,6;75,4;63,0;2;0;
26/08/2013;03:03:37;75,6;75,4;63,0;2;0;
26/08/2013;03:04:37;75,6;75,4;63,0;2;0;
26/08/2013;03:05:37;75,6;75,4;63,0;2;0;
26/08/2013;03:06:37;75,6;75,4;63,0;2;0;
26/08/2013;03:07:37;75,6;75,4;63,0;2;0;
26/08/2013;06:33:00;75,4;75,4;63,0;2;0;
26/08/2013;06:33:05;75,4;75,4;63,0;2;0;
26/08/2013;06:34:03;75,4;75,4;63,0;2;0;
26/08/2013;06:35:03;75,4;75,4;63,0;2;0;
26/08/2013;06:36:03;75,4;75,4;63,0;2;0;
26/08/2013;06:37:03;75,4;75,4;63,0;2;0;
26/08/2013;06:38:03;75,4;75,4;63,0;2;0;
26/08/2013;06:39:03;75,4;75,4;63,0;2;0;
26/08/2013;06:40:03;75,4;75,4;63,0;2;0;
26/08/2013;06:41:03;75,4;75,4;63,0;2;0;
26/08/2013;06:42:03;75,4;75,4;63,0;2;0;
26/08/2013;06:43:03;75,4;75,4;63,0;2;0;
26/08/2013;06:44:03;75,4;75,4;63,0;2;0;
